geo
"[33.7739053, -117.9414477]"
"[32.7833, -96.8]"
"[25.78842, -80.18592]"
"[34.0522, -118.243]"
"[47.64288, -117.5609]"
"[37.682398, -121.0493768]"
"[30.18293, -97.6875]"
"[35.04541896, -78.96841765]"
"[41.94983509, -87.65879074]"
"[28.56332029, -80.79895618]"
"[30.46879289, -90.14981708]"
"[33.78061338, -117.24477291]"
"[30.0785, -85.5763]"
"[33.845581, -84.367855]"
"[33.9191799, -118.4164652]"
"[45.527942, -122.65356]"
"[41.5381535, -72.8070435]"
"[45.527942, -122.65356]"
"[45.519071, -122.6786]"
"[34.0028786, -84.1446376]"
"[34.0928092, -118.3286614]"
"[25.65219439, -100.26521087]"
"[37.7749295, -122.4194155]"
"[32.8328112, -117.2712717]"
"[42.95993545, -85.67400285]"
"[33.9533487, -117.3961564]"
"[36.89, -76.38]"
"[33.1192068, -117.086421]"
"[43.7166, -79.3407]"
"[41.86306312, -85.8995039]"
"[28.508708, -81.268395]"
"[25.95762, -80.23856]"
"[42.69, -89.02]"
"[25.77885118, -80.13060808]"
"[32.299936, -90.183336]"
"[39.779492, -86.132837]"
"[44.4333, -80.5208]"
"[40.71993604, -73.96134792]"
"[45.4966, -73.57298]"
"[45.5166, -122.656]"
"[39.74846874, -105.00756385]"
"[36.26209904, -115.08537258]"
"[43.59222783, -89.79794283]"
"[41.5833386, -93.6278391]"
"[38.991195, -77.038171]"
"[47.5421311, -122.0185275]"
"[34.0050173, -118.4338345]"
"[40.4842533, -79.9221679]"
"[31.7902, -106.423]"
"[47.6939041, -117.3932074]"
"[45.5230622, -122.6764816]"
"[33.9191799, -118.4164652]"
"[43.00599933, -76.19805683]"
"[32.7606, -97.3435]"
"[37.3813444, -122.1802812]"
"[41.49533, -81.63009]"
"[30.19784, -97.80356]"
"[40.4313474, -80.0505398]"
"[39.91488371, -75.23667677]"
"[35.1624, -101.848]"
"[35.23294, -80.83564]"
"[33.9697897, -118.2468148]"
"[45.143731, -122.8553725]"
"[32.715738, -117.1610838]"
"[27.7706, -82.6794]"
"[42.17524922, -71.13415517]"
"[39.9674, -75.5747]"
"[36.0633603, -115.0470471]"
"[32.6291249, -117.0397606]"
"[33.977, -78.3925]"
"[33.45, -112.08]"
"[44.0, -71.5]"
"[29.76971383, -95.3963685]"
"[39.94811, -75.20724]"
"[34.0522, -118.243]"
"[38.8053, -77.0494]"
"[33.7489, -84.3881]"
"[36.97205, -122.026252]"
"[43.05968, -87.88327]"
"[40.7356711, -74.2484121]"
"[34.0522, -118.243]"
"[35.1258, -117.985]"
"[35.07567091, -106.49675341]"
"[40.6548713, -74.0064354]"
"[41.65951513, -91.53746423]"
"[32.44313056, -110.78843056]"
"[32.881031, -97.1525726]"
"[41.40195476, -81.76251852]"
"[26.0081474, -80.15378096]"
"[40.4468129, -79.8919463]"
"[35.53089957, -97.57387469]"
"[33.9776, -117.3504]"
"[34.0221, -118.481]"
"[35.2743, -120.663]"
"[37.083944, -76.5193965]"
"[29.75420466, -95.4004751]"
"[43.0522, -87.9559]"
"[37.372, -122.026]"
"[41.48796841, -71.53585779]"
"[28.36790503, -81.55048199]"
"[43.82598, -79.35003]"
"[31.7902, -106.423]"
"[40.72019, -74.04365]"
"[37.7328137, -122.2029062]"
"[37.654656, -122.4077498]"
"[45.05963, -93.31553]"
"[33.5900383, -117.2355118]"
"[37.4418834, -122.1430195]"
"[42.99099099, -78.89924057]"
"[40.71249, -74.00628]"
"[33.9191799, -118.4164652]"
"[25.79253861, -80.14929555]"
"[38.1915856, -120.8291033]"
"[43.66311, -79.40292]"
"[45.4966, -73.57298]"
"[40.4691664, -93.9871736]"
"[36.4586902, -83.8718624]"
"[29.7506624, -98.7047606]"
"[38.5815719, -121.4943996]"
"[43.0451225, -87.9106443]"
"[39.96475234, -75.17982156]"
"[25.41631126, -99.94144182]"
"[34.1233, -117.579]"
"[34.0522342, -118.2436849]"
"[33.488683, -112.3449016]"
"[30.21987, -89.794735]"
"[36.48863024, -119.72972051]"
"[40.7202, -73.9932]"
"[42.333666, -83.0424721]"
"[45.5220648, -122.6757228]"
"[40.71288352, -74.01347106]"
"[40.6868577, -111.9427228]"
"[38.80472222, -77.04722222]"
"[42.3368912, -83.0513535]"
"[37.76, -75.76]"
"[37.6688205, -122.0807964]"
"[44.9034, -97.1204]"
"[35.625556, -78.328611]"
"[42.64852642, -73.75464572]"
"[36.89, -76.38]"
"[34.0508369, -118.263032]"
"[44.8632262, -93.2933129]"
"[33.9533487, -117.3961564]"
"[39.9755669, -75.4395905]"
"[40.7494, -73.9829]"
"[25.80948, -80.23483]"
"[38.991167, -77.038222]"
"[38.8991, -77.029]"
"[44.80152462, -106.96671352]"
"[37.08, -76.48]"
"[44.1225, -81.15149]"
"[38.8991, -77.029]"
"[38.84129, -77.08957]"
"[32.715738, -117.1610838]"
"[40.77863, -73.94783]"
"[35.1174, -89.9711]"
"[38.8991, -77.029]"
"[40.75621, -74.17367]"
"[33.1972, -96.6397]"
"[34.07305556, -118.39944444]"
"[38.5815719, -121.4943996]"
"[38.8991, -77.029]"
"[45.2751549, -75.749846]"
"[42.3361491, -83.0493739]"
"[29.5844524, -81.2078699]"
"[36.1294964, -115.1544193]"
"[34.0522342, -118.2436849]"
"[34.0805651, -118.072846]"
"[44.7444, -93.268]"
"[33.8381, -79.0561]"
"[40.3367131, -74.5619011]"
"[30.3194, -81.66]"
"[38.87641, -76.77475]"
"[47.716648, -122.30308]"
"[41.2721, -72.965]"
"[40.14521393, -79.54008381]"
"[43.29889, -91.774]"
"[36.89, -76.38]"
"[40.0, -74.5]"
"[43.65533, -79.4145]"
"[36.1719648, -115.2459927]"
"[40.6719, -74.495]"
"[41.1418, -81.3564]"
"[34.11722, -118.26223]"
"[28.370948, -81.51629]"
"[36.1617285, -115.1581953]"
"[29.7284908, -95.5412521]"
"[29.99424, -97.88499]"
"[25.73, -80.24]"
"[47.5304577, -121.8715721]"
"[47.4116866, -122.245159]"
"[40.827999, -73.843803]"
"[40.827999, -73.843803]"
"[38.5725, -109.54972222]"
"[40.801898, -73.916702]"
"[40.801898, -73.916702]"
"[40.804798, -73.911796]"
"[30.0017, -90.0928]"
"[40.804798, -73.911796]"
"[40.6096, -74.035003]"
"[40.6096, -74.035003]"
"[40.709701, -73.820297]"
"[40.8472, -73.8553]"
"[39.3711254, -101.0547602]"
"[28.0408524, -82.59765227]"
"[36.89, -76.38]"
"[42.0772, -87.7237]"
"[37.0778, -94.511]"
"[36.1147074, -115.1728497]"
"[32.7806823, -117.0064571]"
"[26.12161, -80.16895]"
"[36.80807, -119.81941]"
"[33.5631268, -101.92141578]"
"[33.79205, -84.40409]"
"[34.0522, -118.243]"
"[36.8399, -119.783]"
"[45.08642064, -83.4562194]"
"[28.37390533, -81.55178856]"
"[43.65082658, -79.35961246]"
"[39.997578, -83.01018]"
"[25.62219945, -100.28167426]"
"[36.10943435, -115.17514256]"
"[45.3573429, -122.6067583]"
"[47.5673202, -122.6329356]"
"[47.3809335, -122.2348431]"
"[41.976912, -87.904876]"
"[34.0522342, -118.2436849]"
"[35.7795897, -78.6381787]"
"[40.73956, -74.00661]"
"[34.904492, -81.6187495]"
"[32.7833, -96.8]"
"[45.4966, -73.57298]"
"[41.8640478, -87.6426706]"
"[41.93138889, -88.75027778]"
"[41.3614, -81.8129]"
"[34.55764514, -118.02635136]"
"[36.1209599, -86.79021]"
"[40.62826643, -74.27148373]"
"[39.09798885, -94.58711295]"
"[27.7981963, -97.0901403]"
"[34.073597, -118.209627]"
"[36.04746096, -115.28484173]"
"[40.48666667, -74.44444444]"
"[40.7819674, -73.47963637]"
"[36.7183863, -121.6539372]"
"[41.26, -95.94]"
"[38.5804609, -121.530234]"
"[25.72244242, -100.31240053]"
"[35.48110605, -80.85047067]"
"[40.7142, -74.0064]"
"[37.4346, -121.895]"
"[34.07193, -83.899809]"
"[42.4677336, -75.0641316]"
"[34.1018849, -118.3016057]"
"[38.8991, -77.029]"
"[43.85, -79.0167]"
"[34.0522, -118.243]"
"[30.3653, -97.9762]"
"[34.27908, -118.40347]"
"[38.7925, -77.0722]"
"[33.5046654, -116.7910004]"
"[33.5046654, -116.7910004]"
"[37.7749295, -122.4194155]"
"[43.6766408, -79.3203551]"
"[47.25256, -122.44036]"
"[45.5289817, -122.8689286]"
"[43.6388818, -79.4006555]"
"[36.1779491, -115.1776114]"
"[37.3382082, -121.8863286]"
"[32.52785517, -97.10995674]"
"[33.7205771, -116.2155619]"
"[47.8982018, -122.208173]"
"[37.7871534, -122.4043845]"
"[37.79174735, -122.40255906]"
"[25.77787, -80.13149]"
"[42.49893751, -88.18793496]"
"[41.7181, -71.4152]"
"[37.3234, -122.009]"
"[40.639722, -73.778889]"
"[34.1018849, -118.3016057]"
"[27.34, -82.54]"
"[25.53540524, -103.42569413]"
"[35.83352, -78.60721]"
"[32.87159264, -117.21236179]"
"[38.6270025, -90.1994042]"
"[40.8472, -73.8553]"
"[32.8015689, -117.1520026]"
"[29.7629, -95.3832]"
"[40.62117, -74.02923]"
"[35.84586953, -78.67143823]"
"[32.715738, -117.1610838]"
"[35.2421103, -118.9761519]"
"[37.7749295, -122.4194155]"
"[37.77145, -122.4041336]"
"[35.390312, -119.092886]"
"[40.58448562, -75.5337143]"
"[34.0522, -118.243]"
"[40.4414, -79.9773]"
"[40.98888889, -81.57861111]"
"[32.7833, -96.8]"
"[42.58814, -72.6014]"
"[25.80948, -80.23483]"
"[33.9812, -81.3063]"
"[33.42584, -86.73657]"
"[37.9048299, -122.54367]"
"[39.081, -104.862]"
"[33.5994, -117.106]"
"[39.1041725, -94.5998517]"
"[32.9594891, -117.2653146]"
"[33.68085455, -78.92352704]"
"[45.3001178, -122.9731565]"
"[39.042624, -77.111116]"
"[34.09858259, -118.32233692]"
"[40.69, -89.59]"
"[44.98206963, -93.15114853]"
"[45.4966, -73.57298]"
"[43.44111111, -79.66611111]"
"[39.41508827, -76.6594538]"
"[30.451348, -97.76588]"
"[42.99099099, -78.89924057]"
"[39.3508, -84.3072]"
"[40.4313474, -80.0505398]"
"[40.734001, -73.864402]"
"[40.726587, -74.032536]"
"[40.726587, -74.032536]"
"[40.734001, -73.864402]"
"[36.6002378, -121.8946761]"
"[33.7700504, -118.1937395]"
"[47.6062095, -122.3320708]"
"[37.7749295, -122.4194155]"
"[34.9102812, -81.58880651]"
"[39.650394, -105.003537]"
"[35.22228, -97.44045]"
"[42.0327234, -97.4137553]"
"[28.40836012, -81.57158939]"
"[45.39885, -75.7276]"
"[33.977, -78.3925]"
"[42.020599, -71.008755]"
"[38.541036, -121.735327]"
"[32.58854362, -88.18649856]"
"[33.99080177, -118.46620998]"
"[40.79396, -73.97256]"
"[25.66619066, -100.3098629]"
"[40.73518967, -73.87454331]"
"[30.19845705, -97.98969596]"
"[34.1705609, -118.8375937]"
"[29.89477, -81.3113599]"
"[29.0825039, -110.9554022]"
"[25.95802538, -80.239259]"
"[32.68419, -97.409781]"
"[37.3382082, -121.8863286]"
"[41.23545272, -73.03617417]"
"[37.3541079, -121.9552356]"
"[40.76529895, -73.97161245]"
"[33.5547011, -117.1750612]"
"[42.1413318, -87.9554351]"
"[25.9017472, -97.4974838]"
"[42.2842, -87.9607]"
"[40.68697, -73.97505]"
"[28.12464446, -82.50133814]"
"[40.73361111, -74.00166667]"
"[43.0772, -83.7156]"
"[37.70423, -121.91635]"
"[25.5547574, -103.4399558]"
"[33.1580933, -117.3505939]"
"[37.7709845, -122.4073775]"
"[33.1972, -96.6397]"
"[36.7468422, -119.7725868]"
"[39.415, -77.3061]"
"[43.0522, -87.9559]"
"[39.91861, -75.38806]"
"[33.962725, -83.376445]"
"[40.7142, -74.0064]"
"[39.29777778, -86.69888889]"
"[38.6576912, -78.2118455]"
"[25.7877, -80.2241]"
"[40.8403636, -74.276654]"
"[33.45376945, -111.9848013]"
"[28.66097, -81.50842]"
"[40.01194444, -89.85833333]"
"[40.56833333, -84.19722222]"
"[33.03916667, -83.07083333]"
"[43.66, -79.43555556]"
"[30.2672, -97.7639]"
"[34.755, -87.12305556]"
"[33.50185, -111.92794]"
"[39.695, -75.68444444]"
"[38.40805556, -85.37027778]"
"[28.87527778, -81.2525]"
"[38.67972222, -90.46305556]"
"[40.758743, -73.980904]"
"[31.62277778, -89.23388889]"
"[33.591319, -85.0586037]"
"[25.540505, -103.460398]"
"[44.97354, -93.25751]"
"[34.056771, -117.750788]"
"[34.25791, -85.12442]"
"[43.92055556, -78.68888889]"
"[27.65040022, -80.39032528]"
"[29.875016, -92.218675]"
"[40.7207559, -74.0007613]"
"[45.480033, -73.586889]"
"[45.4215296, -75.6971931]"
"[41.64972222, -93.71444444]"
"[27.86977674, -82.80524377]"
"[38.9621799, -95.24248]"
"[44.50944444, -72.995]"
"[30.4710609, -90.23736453]"
"[39.82833333, -84.89611111]"
"[40.7207559, -74.0007613]"
"[44.97025551, -93.24494267]"
"[41.3174524, -81.5047772]"
"[43.89666667, -78.87388889]"
"[38.9729, -76.5012]"
"[34.53555556, -92.765]"
"[37.5782, -88.7547]"
"[32.77431488, -96.80149597]"
"[39.24222222, -121.05444444]"
"[25.8433674, -80.4326521]"
"[42.54, -88.35805556]"
"[32.83027778, -96.80111111]"
"[42.36916667, -71.50138889]"
"[43.649, -79.382]"
"[25.540505, -103.460398]"
"[37.47361111, -84.51194444]"
"[39.18808, -94.61891]"
"[36.20672775, -86.69243624]"
"[38.47666667, -90.35555556]"
"[42.7043124, -84.5327038]"
"[25.6714, -100.309]"
"[29.7188233, -95.3393318]"
"[33.57583333, -81.79]"
"[44.41166667, -70.24083333]"
"[38.9847, -77.1131]"
"[41.5167, -90.5333]"
"[33.6584428, -84.5894937]"
"[26.438136, -81.8067523]"
"[38.8813958, -94.8191285]"
"[25.67377655, -100.3054145]"
"[34.1781535, -118.506308]"
"[32.7833, -96.8]"
"[40.76364254, -73.99116502]"
"[40.671953, -89.5832674]"
"[44.883617, -93.211098]"
"[36.89, -76.38]"
"[33.72785588, -118.27961839]"
"[43.85, -79.0167]"
"[39.8362, -75.0246]"
"[42.99099099, -78.89924057]"
"[38.481558, -122.44366]"
"[37.24166667, -81.2775]"
"[33.62804438, -112.37321712]"
"[34.09444444, -118.2675]"
"[25.670172, -100.2437]"
"[28.71049303, -106.15273227]"
"[25.79253861, -80.14929555]"
"[26.92737418, -80.14149249]"
"[40.7901993, -73.969902]"
"[42.0200005, -70.8436203]"
"[38.7634, -77.1503]"
"[44.88364761, -93.21156536]"
"[25.80859, -80.12393]"
"[36.161907, -86.775194]"
"[41.62035211, -93.60035172]"
"[47.17792626, -122.48259323]"
"[40.57651111, -80.02929167]"
"[30.3249269, -81.6403367]"
"[32.6905101, -97.1305536]"
"[40.86099, -73.92019]"
"[33.84807, -84.35957]"
"[37.3926, -122.082]"
"[33.88415725, -117.88039554]"
"[25.98412, -80.21361]"
"[42.6052414, -72.5568585]"
"[41.12252059, -85.06342097]"
"[30.0119, -91.0306]"
"[33.5047493, -101.9254684]"
"[34.0522, -118.243]"
"[25.79655996, -80.27805812]"
"[36.89, -76.38]"
"[34.0522, -118.243]"
"[36.48863024, -119.72972051]"
"[43.6880499, -79.76213]"
"[42.3737, -71.1106]"
"[47.6116242, -122.3332855]"
"[28.41438544, -81.57438494]"
"[45.4966, -73.57298]"
"[32.2217429, -110.926479]"
"[43.00138889, -78.5775]"
"[40.7660016, -73.9765709]"
"[40.4537261, -79.9180618]"
"[34.099955, -118.324914]"
"[36.15879645, -115.19959364]"
"[37.3041, -121.873]"
"[25.9812024, -80.148379]"
"[35.96358, -85.04266]"
"[32.42416667, -96.95222222]"
"[40.7, -73.95]"
"[27.7706, -82.6794]"
"[28.358333, -81.558889]"
"[25.97058, -80.30188]"
"[39.28605042, -76.62769385]"
"[33.41578, -111.49328]"
"[33.41578, -111.49328]"
"[39.30319, -76.61677]"
"[38.87641, -76.77475]"
"[37.289642, -121.98311]"
"[43.85, -79.0167]"
"[40.23994365, -76.90694116]"
"[37.78997859, -122.3886794]"
"[38.3914418, -86.9311094]"
"[34.81924, -92.2381599]"
"[40.76448534, -73.97168912]"
"[45.44366647, -122.5776215]"
"[35.46688, -97.5278699]"
"[35.37, -119.02]"
"[34.103241, -118.3261795]"
"[35.3667, -119.039]"
"[26.124354, -80.249503]"
"[34.03047164, -118.38503458]"
"[34.1, -118.33333333]"
"[32.7153, -117.156]"
"[36.15112, -86.77651]"
"[41.5, -100.0]"
"[34.25144, -77.84115]"
"[30.3653, -97.9762]"
"[34.0975963, -117.7469367]"
"[43.2167, -79.75]"
"[36.03799705, -115.22495806]"
"[36.89, -76.38]"
"[39.998, -75.1448]"
"[36.04337329, -86.71620013]"
"[40.7207559, -74.0007613]"
"[26.08124042, -80.22655451]"
"[40.74596333, -74.25898]"
"[32.2059822, -82.3902137]"
"[41.89123458, -87.60620385]"
"[26.15612, -81.6781]"
"[30.4508688, -88.82923282]"
"[33.5631268, -101.92141578]"
"[40.7142, -74.0064]"
"[38.89816034, -77.02109447]"
"[25.540505, -103.460398]"
"[40.7207559, -74.0007613]"
"[27.86557509, -82.81999385]"
"[39.3334829, -82.0917043]"
"[45.527051, -122.67608]"
"[38.59472222, -90.54833333]"
"[45.532692, -122.581275]"
"[33.54799, -101.92107]"
"[39.7909, -86.1477]"
"[25.98412, -80.21361]"
"[40.0, -100.0]"
"[34.11722, -118.26223]"
"[25.540505, -103.460398]"
"[34.0975963, -117.7469367]"
"[45.56, -73.66]"
"[40.8256536, -73.2026138]"
"[45.5230622, -122.6764816]"
"[34.144692, -118.391008]"
"[33.42584, -86.73657]"
"[26.5140922, -78.64724577]"
"[34.01367, -118.28649]"
"[41.89144796, -87.6086071]"
"[41.8369, -87.6844]"
"[43.74587507, -79.8263542]"
"[40.78202894, -73.82861931]"
"[36.12083333, -115.17222222]"
"[33.77290597, -84.36594843]"
"[34.12614419, -118.32616766]"
"[40.42115, -74.21217]"
"[39.95758294, -75.17110906]"
"[33.0, -90.0]"
"[37.2357755, -76.6416549]"
"[40.97474, -81.52414]"
"[34.2232, -77.9121]"
"[36.175, -115.136]"
"[40.72560011, -73.99806976]"
"[39.0684387, -84.3226488]"
"[41.82, -71.41]"
"[30.3653, -97.9762]"
"[26.158469, -80.3255512]"
"[39.9855, -75.1636]"
"[31.031675, -114.837539]"
"[40.28750409, -76.60605485]"
"[33.977, -78.3925]"
"[36.08142882, -115.1473115]"
"[33.76416756, -118.20129002]"
"[34.0561, -118.43]"
"[33.78062404, -118.07353033]"
"[40.76433476, -73.98065943]"
"[30.35905, -97.73459]"
"[42.492786, -92.3425775]"
"[34.10672, -118.33032]"
"[29.109833, -111.0122413]"
"[40.76529895, -73.97161245]"
"[34.1038839, -118.326993]"
"[42.5586, -71.1703]"
"[36.11904551, -115.17745446]"
"[40.7142, -74.0064]"
"[41.7, -71.5]"
"[41.06047816, -80.62203706]"
"[45.5160999, -122.6748205]"
"[25.86812, -80.32576]"
"[42.64010719, -71.3201791]"
"[34.1233, -117.579]"
"[39.85954656, -75.25445468]"
"[39.1033, -94.4117]"
"[32.78372, -96.78319]"
"[25.95762, -80.23856]"
"[40.850394, -73.933147]"
"[35.9729, -83.9422]"
"[33.8868, -118.354]"
"[40.72628, -73.98158]"
"[25.14094996, -80.40076683]"
"[33.81520864, -118.21376399]"
"[25.67992472, -100.35089416]"
"[32.83702913, -96.77600525]"
"[39.71149632, -86.15297089]"
"[36.29439416, -94.14625825]"
"[25.7887551, -80.1414675]"
"[42.4072107, -71.3824374]"
"[45.0105194, -93.4555093]"
"[34.685417, -90.381795]"
"[34.7121895, -81.6291563]"
"[33.76615, -117.9256]"
"[33.04762196, -117.29715443]"
"[36.4606, -81.5192]"
"[41.86603, -87.68574]"
"[40.7142, -74.0064]"
"[44.353668, -79.722851]"
"[36.8313, -76.3456]"
"[40.3925748, -86.8860741]"
"[39.5408, -89.288]"
"[44.9486, -93.364875]"
"[25.64481734, -100.2884558]"
"[33.5315, -117.769]"
"[34.1013939, -118.342741]"
"[40.750742, -73.99653]"
"[37.7789767, -122.46127276]"
"[33.7419351, -116.40606241]"
"[26.09903532, -80.31509742]"
"[45.3272, -118.093]"
"[25.80859, -80.12393]"
"[37.3343407, -121.8961192]"
"[38.0049214, -121.805789]"
"[30.19845704, -97.98969628]"
"[34.0522, -118.243]"
"[37.7644499, -122.24411]"
"[38.93, -83.87]"
"[40.8506, -73.8333]"
"[35.21735, -97.42502]"
"[36.12741064, -115.17117521]"
"[37.78228912, -122.46370798]"
"[34.13767425, -118.35439145]"
"[33.7489, -84.3881]"
"[28.6117145, -105.9647996]"
"[33.7222, -111.677]"
"[40.78694444, -73.97527778]"
"[34.1176605, -118.3520389]"
"[42.3314, -83.0458]"
"[40.7128, -74.0047]"
"[41.32458885, -85.84306861]"
"[42.0043999, -88.01475]"
"[40.4313474, -80.0505398]"
"[40.7142, -74.0064]"
"[42.1250929, -72.749538]"
"[45.324998, -94.5445145]"
"[40.80815, -73.94488]"
"[35.0699, -80.6544]"
"[42.2711311, -89.0939952]"
"[32.8377, -97.1385]"
"[39.95008552, -75.1243091]"
"[35.5, -80.0]"
"[40.73759, -73.99118]"
"[42.0802734, -78.4786937]"
"[34.08383, -118.35066]"
"[32.54310279, -84.24212142]"
"[36.165, -86.78388889]"
"[33.48446491, -79.09887593]"
"[25.810143, -80.186462]"
"[34.08236, -118.27193]"
"[40.76727219, -73.9656093]"
"[34.03312569, -118.73066157]"
"[34.00055556, -81.04416667]"
"[27.83879, -82.74363]"
"[39.7380371, -105.0265195]"
"[38.98, -76.49]"
"[40.688432, -75.2207323]"
"[34.4044113, -118.5706019]"
"[36.109988, -115.17144271]"
"[33.9293, -117.952]"
"[43.09141983, -79.07508101]"
"[35.5, -80.0]"
"[29.08628, -110.96791]"
"[25.43594952, -100.17244588]"
"[35.88479559, -119.26381333]"
"[33.5315, -117.769]"
"[30.267153, -97.7430608]"
"[26.1420358, -81.7948103]"
"[32.79857, -96.80246]"
"[35.8456213, -86.39027]"
"[33.83472885, -84.32466736]"
"[41.467399, -73.821197]"
"[40.730965, -74.049363]"
"[40.637917, -74.144797]"
"[40.949027, -74.07223]"
"[40.637917, -74.144797]"
"[40.949027, -74.07223]"
"[40.902175, -74.195914]"
"[41.1235, -73.7835]"
"[34.07687803, -118.32771845]"
"[40.902175, -74.195914]"
"[40.637917, -74.144797]"
"[40.827801, -74.229498]"
"[41.538898, -73.771003]"
"[40.827801, -74.229498]"
"[40.496657, -74.411758]"
"[40.496657, -74.411758]"
"[39.875342, -75.1024]"
"[39.875342, -75.1024]"
"[29.7506624, -98.7047606]"
"[40.637917, -74.144797]"
"[41.467399, -73.821197]"
"[39.838378, -75.092322]"
"[40.1051087, -83.14515655]"
"[39.867204, -75.10203]"
"[39.838378, -75.092322]"
"[39.867204, -75.10203]"
"[39.3254, -77.7436]"
"[40.74243, -74.084803]"
"[40.74243, -74.084803]"
"[39.855576, -75.027426]"
"[39.855576, -75.027426]"
"[40.861478, -74.418431]"
"[40.861478, -74.418431]"
"[40.706224, -74.560542]"
"[40.706224, -74.560542]"
"[40.553111, -74.316428]"
"[40.553111, -74.316428]"
"[40.918167, -74.132322]"
"[40.918167, -74.132322]"
"[40.865652, -74.429358]"
"[41.1235, -73.7835]"
"[39.867845, -75.101384]"
"[41.538898, -73.771003]"
"[40.906354, -74.162811]"
"[40.865652, -74.429358]"
"[39.867845, -75.101384]"
"[40.726587, -74.032536]"
"[40.906354, -74.162811]"
"[40.637917, -74.144797]"
"[40.637917, -74.144797]"
"[40.726587, -74.032536]"
"[40.730965, -74.049363]"
"[42.24121, -71.04032]"
"[33.65058483, -117.74371184]"
"[39.87393, -75.44083]"
"[38.7383673, -77.4858741]"
"[40.42792143, -79.96611429]"
"[34.15, -118.14]"
"[42.4436, -76.5001]"
"[34.0561, -118.43]"
"[32.5789443, -97.1471074]"
"[25.80859, -80.12393]"
"[32.5789443, -97.1471074]"
"[39.6849237, -105.1609838]"
"[37.3499521, -121.940608]"
"[42.409466, -83.4103039]"
"[42.65981, -85.28984]"
"[34.0522, -118.243]"
"[35.1078, -89.972]"
"[35.6378899, -82.5973206]"
"[42.3872866, -71.0818198]"
"[40.74391, -73.9839]"
"[34.09858259, -118.32233692]"
"[39.1593, -77.5481]"
"[33.7455378, -84.4040246]"
"[40.44129684, -75.35642624]"
"[43.7166, -79.3407]"
"[43.76251, -79.41149]"
"[33.80529412, -117.92171399]"
"[39.2903, -76.6125]"
"[28.59667, -81.35053]"
"[33.415, -111.831]"
"[41.08924, -73.99022]"
"[39.9452, -75.1414]"
"[33.175537, -96.709541]"
"[25.813, -80.1341]"
"[26.00819139, -80.15382443]"
"[36.1809, -86.786]"
"[44.05038224, -123.08762594]"
"[34.05972222, -118.34916667]"
"[29.7166735, -95.41556384]"
"[29.8421551, -97.9737673]"
"[40.71682, -73.998215]"
"[38.7383673, -77.4858741]"
"[40.7352, -74.1849]"
"[33.80558872, -118.14828154]"
"[27.7981963, -97.0901403]"
"[26.0721331, -80.1434289]"
"[44.5, -89.5]"
"[43.59046, -84.77516]"
"[36.12287396, -80.11816749]"
"[34.1722, -118.378]"
"[40.4051, -79.9078]"
"[40.68307281, -73.9758739]"
"[38.919211, -77.03777]"
"[33.42462, -111.93531]"
"[40.73680709, -74.03088725]"
"[29.60891, -98.46143]"
"[34.20046459, -118.55500897]"
"[34.42, -119.7]"
"[45.0999849, -87.6306623]"
"[25.95762, -80.23856]"
"[46.8771863, -96.7898034]"
"[40.73680709, -74.03088725]"
"[38.8991, -77.029]"
"[29.5543, -95.296]"
"[40.7142, -74.0064]"
"[41.53826, -81.5577]"
"[33.977, -78.3925]"
"[39.0, -76.7]"
"[32.9550018, -96.841362]"
"[35.09, -106.62]"
"[38.93085999, -76.9670055]"
"[32.7850186, -96.808234]"
"[33.50843819, -112.23680928]"
"[41.10176, -80.77457]"
"[28.4234728, -81.4640952]"
"[33.7489, -84.3881]"
"[38.9039, -77.0241]"
"[40.181578, -75.543017]"
"[44.48359, -79.5443]"
"[33.5197527, -112.1688549]"
"[44.48359, -79.5443]"
"[38.73115633, -82.99293102]"
"[41.408969, -75.6624122]"
"[32.8781, -97.3265]"
"[41.66078, -91.5328]"
"[37.6864, -122.468]"
"[32.83027778, -96.80111111]"
"[37.372, -122.026]"
"[34.0522, -118.243]"
"[34.11722, -118.26223]"
"[34.0522342, -118.2436849]"
"[39.4298253, -84.2826243]"
"[29.44293142, -98.48093872]"
"[34.200962, -118.448431]"
"[29.4241219, -98.4936282]"
"[40.7142, -74.0064]"
"[40.76805726, -73.98176894]"
"[35.2006611, -80.84350756]"
"[36.12287396, -80.11816749]"
"[27.9709, -82.4646]"
"[37.10271863, -113.56595267]"
"[32.7885599, -79.93786]"
"[32.7153, -117.156]"
"[36.7698666, -108.1662605]"
"[39.4384885, -119.7602064]"
"[34.0753762, -84.2940899]"
"[37.2382, -121.989]"
"[36.1061525, -115.1744604]"
"[40.7142, -74.0064]"
"[39.6787149, -104.9729502]"
"[47.6906, -122.355]"
"[34.083836, -118.177696]"
"[27.33995086, -82.17100055]"
"[41.0803109, -111.9794952]"
"[31.1171194, -97.7277959]"
"[42.28675141, -89.62876823]"
"[24.1636533, -110.31154446]"
"[40.762709, -73.973884]"
"[41.89390971, -87.62428008]"
"[38.86820948, -76.61890478]"
"[42.0394, -88.2886]"
"[25.7877, -80.2241]"
"[35.20926, -80.8676799]"
"[41.43161569, -74.1680083]"
"[38.233433, -122.638589]"
"[33.05, -117.29]"
"[38.57938672, -121.48643304]"
"[32.7833, -96.8]"
"[40.7127837, -74.0059413]"
"[37.4315734, -78.6568942]"
"[38.89816034, -77.02109447]"
"[25.68459434, -100.35615031]"
