geo
"[33.3061605, -111.8412502]"
"[33.6556515, -117.7015731]"
"[34.4208305, -119.6981901]"
"[33.6334453, -117.8608523]"
"[39.0392, -95.6895]"
"[38.939926, -119.9771868]"
"[39.437744, -77.99197]"
"[36.021532, -115.27778827]"
"[35.4516124, -118.7897558]"
"[38.5408, -75.0617]"
"[43.0119, -78.9592]"
"[38.051027, -121.3447689]"
"[33.7489, -84.3881]"
"[39.98337149, -75.62073515]"
"[36.61896417, -121.93713149]"
"[29.7055028, -95.4786185]"
"[42.088979, -87.824377]"
"[40.72535415, -73.98340613]"
"[43.0798, -77.415]"
"[25.79510358, -80.14425881]"
"[37.7863, -122.41737]"
"[25.7282, -80.271]"
"[43.64463, -79.39747]"
"[47.1853785, -122.2928974]"
"[36.8745146, -94.8774554]"
"[37.4852152, -122.2363548]"
"[37.5933918, -122.0438298]"
"[34.1336186, -117.9075627]"
"[30.14734492, -94.1785693]"
"[43.18333333, -79.23333333]"
"[40.0786, -82.8206]"
"[34.04308469, -118.26719093]"
"[41.5623209, -72.6506488]"
"[37.77485244, -122.40968494]"
"[32.677457, -97.414556]"
"[39.9231, -75.1753]"
"[39.75626, -75.12995]"
"[38.6272, -90.1978]"
"[38.9847, -77.1131]"
"[25.57639503, -100.2493]"
"[34.07601766, -118.29511495]"
"[31.5874967, -102.89129466]"
"[32.86875172, -96.76814139]"
"[40.970598, -75.131082]"
"[40.970598, -75.131082]"
"[40.744899, -73.847503]"
"[40.957693, -75.116885]"
"[40.957693, -75.116885]"
"[33.7458337, -84.4038224]"
"[37.8015818, -122.2720879]"
"[25.8433674, -80.4326521]"
"[34.095287, -118.1270146]"
"[41.3045436, -72.9357954]"
"[41.3045436, -72.9357954]"
"[29.9483, -90.0703]"
"[34.1975048, -119.1770516]"
"[41.85195663, -71.39836822]"
"[47.6062095, -122.3320708]"
"[38.91803, -77.02363]"
"[29.9728, -90.059]"
"[42.57777, -82.96359]"
"[42.27605436, -71.00733331]"
"[36.36295, -86.54764]"
"[29.7506624, -98.7047606]"
"[33.1383268, -117.193004]"
"[33.2758141, -111.7868151]"
"[47.5673202, -122.6329356]"
"[34.0522342, -118.2436849]"
"[25.70555556, -80.44055556]"
"[45.9931636, -123.9226385]"
"[46.2856907, -119.2844621]"
"[40.78694444, -73.97527778]"
"[44.98, -93.2636]"
"[41.882636, -87.623101]"
